PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AirQualityIndex
102,111,18,3,5,27,27,111
102,118,13,3,6,58,29,118
157,111,18,2,6,22,33,111
129,124,16,20,1,47,25,129
112,124,16,20,6,6,34,112
58,127,5,6,13,33,16,58
197,164,34,5,4,24,37,197
153,132,13,4,25,93,18,153
181,138,9,16,7,33,91,181
25,28,11,2,4,33,5,28
40,28,14,2,3,40,17,40
18,39,24,1,13,38,8,39
26,74,11,3,33,21,9,74
19,30,8,1,8,14,11,30
17,20,6,8,4,44,8,44
20,27,3,8,2,42,22,42
18,26,3,8,2,3,22,26
46,39,22,4,6,34,41,46
17,30,10,4,4,38,41,38
19,20,18,1,15,32,21,32
33,39,12,1,5,24,10,39
21,26,12,1,42,57,10,57
34,35,8,4,10,47,60,60
38,63,23,3,13,19,21,63
14,29,22,8,17,20,14,29
46,59,25,3,72,50,9,72
23,67,14,3,8,59,5,67
21,49,14,3,1,16,3,49
14,14,13,1,3,37,32,37
14,30,13,1,53,74,32,74
36,36,8,1,74,66,6,74
19,53,18,1,16,46,16,53
19,17,30,6,32,43,11,43
31,38,14,5,14,96,4,96
63,74,15,2,13,60,21,74
49,101,29,2,6,60,21,101
56,79,50,22,6,36,20,79
58,82,11,3,6,47,35,82
98,99,23,4,9,47,20,99
127,129,23,4,16,39,12,129
37,78,23,4,15,20,42,78
67,74,12,4,10,13,42,74
46,74,16,6,7,48,35,74
144,125,24,3,27,46,52,144
197,203,52,8,6,31,36,203
68,95,55,14,11,66,50,95
100,130,40,14,10,53,68,130
47,64,16,3,17,46,35,64
60,82,57,8,8,35,32,82
55,76,3,1,14,77,14,77
82,76,11,1,7,92,23,92
22,52,28,3,32,17,23,52
62,52,19,3,27,17,23,62
104,143,25,7,7,26,52,143
104,108,26,11,17,58,68,108
123,126,64,5,60,55,65,126
163,187,56,8,29,91,49,187
64,187,47,8,9,91,25,64
102,134,22,10,15,51,85,134
48,134,26,10,4,63,24,63
71,95,15,7,4,48,45,95
55,69,48,2,12,20,10,69
32,36,23,3,4,37,13,37
18,33,14,2,7,45,34,45
57,87,53,1,15,70,25,87
42,64,11,1,16,18,16,64
45,64,11,1,53,73,211,211
58,64,81,1,58,70,211,81
115,112,57,8,13,31,61,115
25,47,4,8,22,70,4,70
33,36,18,2,6,35,24,36
41,76,9,3,2,45,3,76
101,105,30,4,48,23,24,105
112,100,16,4,4,25,93,112
55,84,33,22,3,48,71,84
152,125,18,4,4,22,41,152
122,136,24,5,6,152,67,152
37,112,12,13,3,27,64,112
200,138,26,9,45,23,85,200
142,108,16,11,3,61,83,142
90,113,10,16,9,30,18,113
225,142,20,16,41,28,20,225
135,110,29,8,4,30,24,135
135,105,14,4,6,53,29,105
85,99,11,20,1,38,11,99
167,161,29,14,14,21,25,167
141,161,10,14,32,20,18,141
214,145,25,4,4,21,43,214
156,129,112,15,11,55,64,156
25,38,12,2,4,55,111,111
46,38,17,2,4,40,18,46
21,58,24,1,18,41,9,58
34,124,12,3,32,17,11,124
32,48,17,1,8,41,12,48
8,13,6,8,4,23,10,23
42,36,19,4,10,19,28,42
22,26,16,1,12,25,20,26
40,47,12,1,10,19,8,47
30,32,5,4,10,39,53,53
27,68,27,2,12,18,22,68
9,15,22,10,17,14,14,22
48,53,22,3,37,62,8,62
17,55,13,3,15,57,5,57
22,23,27,6,25,41,26,41
70,77,13,2,10,31,28,77
55,93,29,2,8,31,28,93
61,92,38,16,6,28,15,92
96,105,12,3,7,42,45,105
89,116,23,3,9,42,27,116
99,118,23,3,14,37,12,118
56,102,23,3,3,23,14,102
84,88,11,3,11,12,14,88
51,67,14,5,7,64,37,67
187,121,27,3,28,31,48,187
178,122,38,8,6,35,53,178
60,75,37,4,12,45,45,75
100,113,41,4,10,50,53,113
64,65,15,3,16,28,40,65
79,102,49,8,6,33,46,102
63,93,9,1,11,43,20,93
38,93,11,1,7,94,22,94
29,23,5,1,11,79,28,79
42,82,30,13,43,20,24,82
53,82,24,13,29,20,24,53
132,163,25,9,11,17,79,163
67,84,14,10,9,50,54,84
90,108,59,7,25,37,54,108
54,118,42,6,10,67,27,54
127,151,31,13,15,50,98,151
62,151,24,13,5,65,33,65
103,116,21,7,4,47,26,116
108,93,25,10,26,66,22,108
46,39,4,1,7,13,16,46
71,77,71,3,17,33,6,77
20,23,29,10,4,17,24,29
36,40,23,1,4,24,15,40
24,43,18,2,8,41,26,43
28,44,28,5,3,13,19,44
54,89,53,1,15,36,13,89
28,52,9,1,16,27,16,52
34,52,58,1,21,66,7,66
50,52,74,1,57,35,165,74
72,89,57,7,12,47,14,89
44,51,18,2,5,46,23,51
31,77,8,3,2,26,4,77
92,96,31,6,49,24,8,96
80,76,16,5,3,29,12,80
47,69,32,21,3,47,63,69
127,116,18,4,4,29,28,127
98,112,16,4,5,151,29,151
32,109,11,14,3,24,47,109
192,131,24,8,47,26,37,192
118,93,16,11,4,77,31,118
73,99,8,13,9,32,15,99
160,120,14,13,44,22,10,160
108,94,29,8,3,25,9,108
108,84,26,4,5,48,9,84
113,104,19,5,14,38,8,113
113,90,14,5,4,17,11,90
65,79,9,20,1,38,6,79
100,79,15,20,6,3,13,100
124,136,20,22,15,21,172,172
224,148,25,4,4,25,24,224
120,104,76,9,8,56,5,120
25,30,12,2,4,56,16,30
35,30,18,2,4,38,9,38
20,51,24,1,14,38,6,51
35,113,13,3,32,17,8,113
30,42,23,1,8,32,4,42
6,18,6,8,5,43,7,43
29,24,19,4,10,17,59,59
18,18,17,1,12,22,22,22
34,41,12,1,9,19,11,41
18,23,6,3,10,35,75,75
27,68,27,2,12,19,22,68
12,21,21,10,17,13,14,21
41,48,28,3,37,43,5,48
17,51,14,3,15,59,5,59
19,16,24,5,23,45,10,45
73,77,13,2,11,52,19,77
56,96,29,2,7,52,19,96
56,113,42,19,11,30,10,113
97,102,12,3,7,42,32,102
86,108,22,2,7,42,21,108
67,90,22,2,10,37,11,90
32,66,22,2,3,16,12,66
78,74,11,2,11,13,12,78
51,63,14,5,7,69,26,69
203,138,22,3,29,24,20,203
128,109,33,7,8,29,14,128
54,69,29,4,12,43,45,69
85,106,41,4,10,84,21,106
43,55,15,3,16,26,12,55
77,86,45,8,6,36,14,86
61,100,12,3,12,25,20,100
44,100,11,3,6,90,10,90
